viaje_id,inicio_viaje,estacion_origen,localidad_origen,estacion_destino,localidad_destino,duracion_min,distancia_km,tipo_bicicleta,tipo_usuario,clima,temperatura_c,precipitacion_mm,fin_de_semana
V001304,2026-03-01 18:03:10,Parque El Virrey Norte,Usaquén,Calle 100,Usaquén,18.2,3.92,Mecánica,Suscriptor,Despejado,17.3,0.0,Sí
V000842,2026-04-30 15:31:43,Parkway,Teusaquillo,Unicentro,Usaquén,12.4,2.55,Mecánica,Suscriptor,Despejado,18.4,0.0,No
V001699,2026-02-26 08:01:30,Universidad Javeriana,Chapinero,Universidad Nacional,Teusaquillo,9.1,1.55,Eléctrica,,Lluvia ligera,17.0,1.9,No
V000843,2026-03-12 06:52:16,Universidad Nacional,Teusaquillo,Corferias,Teusaquillo,33.0,4.88,Mecánica,Ocasional,Despejado,16.5,0.0,No
V002014,2026-05-09 19:49:46,Galerías,Teusaquillo,Parkway,Teusaquillo,6.3,1.62,Mecánica,Suscriptor,Lluvia ligera,14.0,1.8,Sí
V003009,2026-02-17 18:11:46,Universidades Centro,La Candelaria,Plaza de Bolívar,La Candelaria,5.8,1.22,Eléctrica,Suscriptor,Despejado,12.8,0.0,No
V001889,2026-05-13 07:37:07,Universidad Nacional,Teusaquillo,Corferias,Teusaquillo,10.8,1.67,Mecánica,Suscriptor,Nublado,16.2,0.0,No
V000132,2026-03-18 14:34:01,Las Nieves,Santa Fe,Museo Nacional,Santa Fe,8.4,1.81,Eléctrica,Ocasional,Nublado,21.1,0.0,No
V001542,2026-02-17 08:25:32,Universidades Centro,La Candelaria,Chorro de Quevedo,La Candelaria,36.6,7.58,Mecánica,Ocasional,Despejado,20.7,0.0,No
V001590,2026-04-03 21:11:28,Parque Nacional,Santa Fe,Museo Nacional,Santa Fe,20.3,4.03,Eléctrica,Suscriptor,Despejado,20.2,0.0,No
V000179,2026-03-31 13:28:37,Parque Nacional,Santa Fe,Museo Nacional,Santa Fe,7.3,1.47,Mecánica,Suscriptor,Nublado,15.9,0.0,No
V001184,2026-03-30 02:56:53,Universidad Javeriana,Chapinero,Calle 72,Chapinero,11.8,2.04,Mecánica,Suscriptor,Nublado,18.2,0.0,No
V000080,2026-04-23 18:42:37,Plaza de Bolívar,La Candelaria,Plaza de Bolívar,La Candelaria,9.1,1.62,Mecánica,Suscriptor,Despejado,17.3,0.0,No
V003111,2026-04-04 15:48:11,Parque de los Hippies,Chapinero,Zona G,Chapinero,11.4,3.05,Eléctrica,Ocasional,Despejado,17.9,0.0,Sí
V002160,2026-02-03 18:30:08,Centro Internacional,Santa Fe,Museo Nacional,Santa Fe,8.0,1.89,Mecánica,Suscriptor,Despejado,14.8,0.0,No
V002844,2026-02-22 08:53:35,Plaza de Bolívar,La Candelaria,Chorro de Quevedo,La Candelaria,16.7,3.28,Eléctrica,Suscriptor,Despejado,16.9,0.0,Sí
V002119,2026-03-26 22:19:59,Calle 63,Chapinero,Simón Bolívar Norte,Barrios Unidos,12.5,2.37,Eléctrica,Suscriptor,Despejado,11.8,0.0,No
V000701,2026-02-12 08:39:40,Centro Internacional,Santa Fe,Las Nieves,Santa Fe,20.9,5.37,Eléctrica,Suscriptor,Despejado,,0.0,No
V002885,2026-03-15 13:55:01,Museo Nacional,Santa Fe,Las Nieves,Santa Fe,6.3,,electrica,Ocasional,Nublado,18.3,0.0,Sí
V002680,2026-05-08 16:29:56,Plaza de Bolívar,La Candelaria,Las Aguas,La Candelaria,8.6,1.8,Eléctrica,Suscriptor,Nublado,17.4,0.0,No
V002970,2026-03-14 03:34:18,Parque El Virrey Norte,Usaquén,Parque El Virrey Norte,Usaquén,6.5,1.38,Mecánica,Suscriptor,Nublado,15.4,0.0,Sí
V002973,2026-02-17 12:18:43,Parkway,Teusaquillo,Galerías,Teusaquillo,8.7,1.79,Eléctrica,Suscriptor,Lluvia,13.6,8.8,No
V002707,2026-04-15 19:03:51,Universidad Javeriana,Chapinero,Calle 72,Chapinero,17.2,3.42,Eléctrica,Suscriptor,Nublado,16.1,0.0,No
V000583,2026-05-14 08:24:20,Calle 80,Barrios Unidos,San Felipe,Barrios Unidos,20.1,4.36,Eléctrica,Suscriptor,Despejado,19.0,0.0,No
V002100,2026-03-10 19:01:15,Museo Nacional,Santa Fe,Parque Nacional,Santa Fe,7.7,1.87,Eléctrica,Suscriptor,Nublado,16.1,0.0,No
V000585,2026-04-10 18:43:49,Galerías,Teusaquillo,Simón Bolívar Sur,Teusaquillo,12.7,1.62,Mecánica,Suscriptor,lluvia ligera,18.2,0.0,No
V002711,2026-05-18 09:35:56,Parque Nacional,Santa Fe,Universidad Nacional,Teusaquillo,19.3,5.98,Eléctrica,Suscriptor,Despejado,16.3,0.0,No
V002537,2026-03-21 09:03:08,Zona G,Chapinero,Universidad Javeriana,Chapinero,7.7,1.71,Eléctrica,Suscriptor,Lluvia,20.1,7.8,Sí
V000741,2026-02-17 17:46:57,Unicentro,Usaquén,Corferias,Teusaquillo,25.3,5.47,Mecánica,Suscriptor,Despejado,11.9,0.0,No
V001620,2026-04-16 13:58:36,Parque de los Hippies,Chapinero,Parque de la 93,Chapinero,15.4,3.08,Eléctrica,Suscriptor,Nublado,22.6,0.0,No
V002297,2026-03-28 17:13:05,Parque de la 93,Chapinero,Calle 100,Usaquén,26.3,5.78,Eléctrica,Suscriptor,Nublado,17.3,0.0,Sí
V000428,2026-05-20 12:45:56,Universidad Nacional,Teusaquillo,Calle 72,Chapinero,25.2,4.29,Mecánica,Ocasional,Lluvia,18.1,11.6,No
V000972,2026-04-04 17:03:01,Galerías,Teusaquillo,Simón Bolívar Norte,Barrios Unidos,19.2,4.74,Mecánica,Suscriptor,Nublado,18.0,0.0,Sí
V000659,2026-03-18 18:34:13,San Felipe,Barrios Unidos,San Felipe,Barrios Unidos,4.5,0.99,Eléctrica,Ocasional,Lluvia ligera,16.3,1.4,No
V001431,2026-02-03 01:11:37,Zona G,Chapinero,Chorro de Quevedo,La Candelaria,21.3,3.17,Eléctrica,Suscriptor,Despejado,16.3,0.0,No
V001628,2026-02-01 08:39:48,Zona G,Chapinero,Zona G,Chapinero,5.4,0.85,Mecánica,Suscriptor,Despejado,15.2,0.0,Sí
V000088,2026-03-28 08:08:15,Calle 116,Usaquén,Hacienda Santa Bárbara,Usaquén,7.2,1.42,Mecánica,Suscriptor,Nublado,15.3,0.0,Sí
V001779,2026-03-24 19:48:52,Chorro de Quevedo,La Candelaria,Plaza de Bolívar,La Candelaria,13.1,,Mecánica,Ocasional,Nublado,15.0,0.0,No
V001600,2026-04-22 17:14:47,Parque El Virrey Norte,Usaquén,Hacienda Santa Bárbara,Usaquén,14.3,3.35,Eléctrica,Suscriptor,Despejado,,0.0,No
V002572,2026-05-11 12:25:24,Parque de los Hippies,Chapinero,Unicentro,Usaquén,12.8,2.57,Eléctrica,Suscriptor,Nublado,17.6,0.0,No
V000751,2026-04-18 20:03:29,Las Nieves,Santa Fe,Museo Nacional,Santa Fe,11.9,1.45,Eléctrica,Suscriptor,Despejado,19.7,0.0,Sí
V001698,2026-05-16 23:16:18,Calle 100,Usaquén,Las Nieves,Santa Fe,19.9,3.85,Mecánica,Suscriptor,Lluvia ligera,22.2,1.9,Sí
V003178,2026-02-13 08:34:06,Galerías,Teusaquillo,Parkway,Teusaquillo,6.4,1.17,Mecánica,Ocasional,Nublado,21.2,0.0,No
V000670,2026-03-01 18:51:29,Calle 72,Chapinero,Calle 63,Chapinero,31.1,6.68,Mecánica,Suscriptor,Lluvia ligera,14.1,2.2,Sí
V000096,2026-05-06 07:16:57,Galerías,Teusaquillo,Simón Bolívar Sur,Teusaquillo,12.3,2.7,Eléctrica,Ocasional,Despejado,19.8,0.0,No
V001321,2026-05-05 14:51:29,Universidad Javeriana,Chapinero,Zona G,Chapinero,11.3,,Mecánica,Suscriptor,Despejado,16.4,0.0,No
V001421,2026-03-28 08:28:40,Zona G,Chapinero,Zona G,Chapinero,11.8,2.48,Eléctrica,Ocasional,Nublado,16.0,0.0,Sí
V002715,2026-03-10 21:11:43,Chorro de Quevedo,La Candelaria,Calle 72,Chapinero,14.1,3.21,Eléctrica,Suscriptor,Nublado,13.9,0.0,No
V000638,2026-02-11 18:29:08,Parque de los Hippies,Chapinero,San Felipe,Barrios Unidos,12.8,2.7,Eléctrica,Suscriptor,Despejado,13.7,0.0,No
V001919,2026-05-06 08:32:33,Chorro de Quevedo,La Candelaria,Universidades Centro,La Candelaria,6.6,1.86,Eléctrica,Suscriptor,Despejado,16.1,0.0,No
V002312,2026-02-16 08:23:43,Las Aguas,La Candelaria,Universidades Centro,La Candelaria,16.5,2.87,Mecánica,Suscriptor,Lluvia ligera,14.7,1.2,No
V002577,2026-04-20 02:06:21,Zona G,Chapinero,Parque de los Hippies,Chapinero,21.2,4.2,Mecánica,Suscriptor,Nublado,19.1,0.0,No
V000187,2026-05-05 17:29:27,Calle 100,Usaquén,Simón Bolívar Sur,Teusaquillo,8.6,1.84,Eléctrica,Ocasional,Nublado,16.5,0.0,No
V001766,2026-03-29 15:40:06,Parque Nacional,Santa Fe,Museo Nacional,Santa Fe,17.6,4.06,Eléctrica,Ocasional,Lluvia,14.1,3.4,Sí
V001383,2026-04-15 16:15:45,Plaza de Bolívar,La Candelaria,Las Aguas,La Candelaria,7.4,1.32,Eléctrica,Suscriptor,Despejado,21.1,0.0,No
V000528,2026-02-25 07:20:09,Simón Bolívar Sur,Chapinero ,Galerías,Teusaquillo,10.2,2.16,Eléctrica,Suscriptor,Despejado,15.1,0.0,No
V002838,2026-04-24 18:42:57,Zona G,Chapinero,Zona G,Chapinero,10.8,1.54,Mecánica,Ocasional,Nublado,18.0,0.0,No
V003024,2026-04-08 09:48:19,Museo Nacional,Santa Fe,Universidad Javeriana,Chapinero,11.5,3.36,Mecánica,Suscriptor,Nublado,14.6,0.0,No
V001241,2026-05-25 17:02:44,Simón Bolívar Sur,Teusaquillo,Universidad Nacional,Teusaquillo,11.1,2.38,Mecánica,Suscriptor,Nublado,16.2,0.0,No
V000363,2026-02-10 19:18:38,Chorro de Quevedo,La Candelaria,Universidades Centro,La Candelaria,12.0,2.6,Mecánica,Suscriptor,Lluvia,10.9,8.0,No
V001848,2026-05-27 07:11:21,Parkway,Teusaquillo,Universidad Nacional,Teusaquillo,17.5,3.97,Eléctrica,Suscriptor,Despejado,17.3,0.0,No
V001947,2026-03-03 18:00:47,Centro Internacional,Santa Fe,Las Nieves,Santa Fe,8.6,1.52,Mecánica,Suscriptor,Despejado,17.2,0.0,No
V002018,2026-05-16 18:00:46,Galerías,Teusaquillo,Zona G,Chapinero,27.6,5.62,Mecánica,Suscriptor,Lluvia,16.0,7.5,Sí
V000562,2026-04-14 11:13:49,Museo Nacional,Santa Fe,Centro Internacional,Santa Fe,8.9,2.74,Eléctrica,Suscriptor,Nublado,16.8,0.0,No
V002422,2026-02-13 18:06:43,Calle 100,Usaquén,Universidades Centro,La Candelaria,21.7,4.74,Eléctrica,Suscriptor,Nublado,9.4,0.0,No
V001085,2026-03-16 08:47:00,Zona G,Chapinero,Las Nieves,Santa Fe,13.2,3.54,Eléctrica,Ocasional,Lluvia ligera,13.3,0.2,No
V001630,2026-05-17 17:51:00,Universidad Javeriana,Chapinero,Universidad Javeriana,Chapinero,5.1,0.71,Mecánica,Suscriptor,Despejado,16.5,0.0,Sí
V001855,2026-03-07 20:07:28,Parque El Virrey Norte,Usaquén,Parque de los Hippies,Chapinero,16.0,3.16,Eléctrica,Suscriptor,Despejado,16.7,0.0,Sí
V002404,2026-02-24 08:43:33,San Felipe,Barrios Unidos,Hacienda Santa Bárbara,Usaquén,11.7,2.15,Eléctrica,Ocasional,Nublado,16.5,0.0,No
V000434,2026-02-15 07:18:54,Calle 116,Usaquén,Las Aguas,La Candelaria,23.5,2.67,Mecánica,Suscriptor,Despejado,15.7,0.0,Sí
V000415,2026-05-04 08:32:09,Las Nieves,Santa Fe,Simón Bolívar Sur,Teusaquillo,13.0,2.13,Mecánica,Suscriptor,Despejado,14.1,0.0,No
V002093,2026-03-11 23:05:15,Universidad Nacional,Teusaquillo,Simón Bolívar Sur,Teusaquillo,12.1,2.9,Eléctrica,Suscriptor,Nublado,15.8,0.0,No
V002507,2026-02-27 19:36:55,Plaza de Bolívar,La Candelaria,Galerías,Teusaquillo,16.0,2.97,Mecánica,Ocasional,Despejado,13.6,0.0,No
V001326,2026-05-24 18:33:07,Parque de los Novios,Barrios Unidos,Parque El Virrey Norte,Usaquén,14.1,2.84,Mecánica,,Nublado,14.9,0.0,Sí
V000740,2026-03-29 16:06:26,Universidades Centro,La Candelaria,Plaza de Bolívar,La Candelaria,18.5,5.5,Eléctrica,Ocasional,Nublado,13.9,0.0,Sí
V002816,2026-02-28 03:51:43,Centro Internacional,Santa Fe,Parque Nacional,Santa Fe,20.6,5.75,Eléctrica,Suscriptor,Lluvia ligera,15.2,1.3,Sí
V000737,2026-04-21 05:37:25,Parque de la 93,Chapinero,Parque de la 93,Chapinero,4.0,0.98,Eléctrica,Suscriptor,Nublado,12.9,0.0,No
V001059,2026-02-18 07:18:01,Hacienda Santa Bárbara,Usaquén,Calle 63,Chapinero,26.4,4.36,Mecánica,Suscriptor,Despejado,16.0,0.0,No
V002662,2026-05-29 02:06:47,Museo Nacional,Santa Fe,Centro Internacional,Santa Fe,14.0,2.45,Mecánica,Suscriptor,Despejado,20.5,0.0,No
V001265,2026-03-26 17:25:17,Parque Nacional,Santa Fe,Corferias,Teusaquillo,23.5,3.31,Mecánica,Ocasional,Despejado,19.2,0.0,No
V002643,2026-04-21 22:14:12,Simón Bolívar Sur,Teusaquillo,Galerías,Teusaquillo,12.9,2.41,Mecánica,Suscriptor,Despejado,22.3,0.0,No
V000743,2026-04-15 22:20:23,Calle 100,Usaquén,Calle 116,Usaquén,9.6,2.26,Eléctrica,Suscriptor,Despejado,17.2,0.0,No
V000728,2026-05-07 07:14:22,Galerías,Teusaquillo,Corferias,Teusaquillo,9.5,2.39,Eléctrica,Suscriptor,Lluvia ligera,17.1,2.3,No
V002840,2026-04-15 20:34:18,Plaza de Bolívar,La Candelaria,Plaza de Bolívar,La Candelaria,4.2,0.99,Mecánica,Suscriptor,Lluvia ligera,13.6,1.5,No
V000677,2026-05-26 18:46:42,Universidad Nacional,Teusaquillo,Parkway,Teusaquillo,5.4,1.31,Mecánica,Suscriptor,Nublado,18.0,0.0,No
V000181,2026-05-15 10:46:22,Parque El Virrey Norte,Usaquén,Hacienda Santa Bárbara,Usaquén,3.1,0.7,Eléctrica,Ocasional,Lluvia ligera,18.2,1.9,No
V002582,2026-05-16 08:50:59,Universidades Centro,La Candelaria,Plaza de Bolívar,La Candelaria,34.6,6.68,Mecánica,Suscriptor,Lluvia ligera,13.6,1.0,Sí
V001939,2026-03-04 07:15:07,Calle 63,Chapinero,Simón Bolívar Norte,Barrios Unidos,11.9,3.08,Mecánica,Ocasional,Lluvia ligera,17.5,1.8,No
V000702,2026-02-04 01:18:55,San Felipe,Barrios Unidos,San Felipe,Barrios Unidos,14.4,3.14,Eléctrica,Suscriptor,Lluvia,16.3,9.8,No
V000376,2026-02-11 05:10:29,Hacienda Santa Bárbara,Usaquén,Parque de los Novios,Barrios Unidos,15.1,2.92,Eléctrica,Ocasional,Lluvia,13.2,11.0,No
V000475,2026-04-07 19:52:41,Las Nieves,Santa Fe,Simón Bolívar Sur,Teusaquillo,10.1,1.69,Eléctrica,Ocasional,Lluvia,18.7,6.2,No
V002440,2026-03-01 17:03:15,Calle 100,Usaquén,Calle 63,Chapinero,12.9,1.95,Mecánica,Suscriptor,Despejado,13.4,0.0,Sí
V000856,2026-02-26 18:41:43,Las Aguas,La Candelaria,Universidades Centro,La Candelaria,22.1,5.84,Eléctrica,Suscriptor,Despejado,16.2,0.0,No
V001931,2026-04-07 18:26:37,Parkway,Teusaquillo,Simón Bolívar Sur,Teusaquillo,26.4,7.14,Eléctrica,Suscriptor,Despejado,19.3,0.0,No
V002704,2026-04-04 03:57:27,Universidad Nacional,Teusaquillo,Calle 100,Usaquén,14.0,3.5,Eléctrica,Ocasional,Lluvia ligera,15.6,1.0,Sí
V003115,2026-04-05 20:38:32,Galerías,Teusaquillo,Universidad Nacional,Teusaquillo,7.5,1.5,Eléctrica,Ocasional,Despejado,18.7,0.0,Sí
V000125,2026-04-23 15:25:18,Parque Nacional,Santa Fe,Parque Nacional,Santa Fe,9.6,1.73,Mecánica,Suscriptor,Nublado,17.1,0.0,No
V000735,2026-02-26 17:31:38,Hacienda Santa Bárbara,Usaquén,Parque El Virrey Norte,Usaquén,12.0,2.57,Eléctrica,Suscriptor,Despejado,13.8,0.0,No
V002971,2026-04-02 19:12:35,Simón Bolívar Sur,Teusaquillo,Universidad Nacional,Teusaquillo,16.3,4.92,Mecánica,Suscriptor,Nublado,17.9,0.0,No
V000126,2026-03-06 09:39:36,Calle 63,Chapinero,Universidad Javeriana,Chapinero,18.2,2.99,Eléctrica,Suscriptor,Despejado,18.8,0.0,No
V000668,2026-03-31 09:24:11,Universidad Javeriana,Chapinero,Calle 116,Usaquén,18.9,3.0,Mecánica,Suscriptor,Despejado,17.8,0.0,No
V000445,2026-03-04 11:14:44,Universidades Centro,La Candelaria,Centro Internacional,Santa Fe,8.7,1.49,Eléctrica,Suscriptor,Despejado,16.8,0.0,No
V002763,2026-02-06 00:44:55,Corferias,Teusaquillo,Centro Internacional,Santa Fe,22.6,4.74,Eléctrica,Ocasional,Despejado,15.1,0.0,No
V002195,2026-05-22 19:08:13,Universidades Centro,La Candelaria,Chorro de Quevedo,La Candelaria,11.5,1.74,Mecánica,Suscriptor,Nublado,18.6,0.0,No
V000514,2026-05-07 17:01:23,Calle 116,Usaquén,Parque Nacional,Santa Fe,26.7,5.37,Mecánica,Suscriptor,Despejado,14.0,0.0,No
V000373,2026-05-15 18:13:24,Plaza de Bolívar,La Candelaria,Museo Nacional,Santa Fe,32.2,8.91,Eléctrica,Suscriptor,Despejado,13.8,0.0,No
V002277,2026-02-02 06:42:01,Universidad Javeriana,Chapinero,Universidad Javeriana,Chapinero,8.5,1.32,Eléctrica,Suscriptor,Despejado,11.5,0.0,No
V001767,2026-03-28 16:39:28,Calle 100,Usaquén,Parque El Virrey Norte,Usaquén,14.0,3.41,Eléctrica,Suscriptor,Despejado,18.0,0.0,Sí
V000855,2026-04-13 09:56:19,Parque de los Hippies,Chapinero,Las Nieves,Santa Fe,19.9,5.04,Eléctrica,Suscriptor,Lluvia ligera,15.6,1.7,No
V000319,2026-02-19 20:56:51,Corferias,Teusaquillo,Museo Nacional,Santa Fe,17.6,3.69,Mecánica,Suscriptor,Nublado,16.0,0.0,No
V002222,2026-04-22 18:56:45,Parque de los Novios,Barrios Unidos,Parque de los Novios,Barrios Unidos,6.1,1.24,Mecánica,Suscriptor,Nublado,18.9,0.0,No
V001163,2026-04-30 17:21:23,Simón Bolívar Sur,Teusaquillo,Parkway,Teusaquillo,14.0,2.22,Eléctrica,Ocasional,Nublado,19.4,0.0,No
V001922,2026-02-13 17:50:48,Calle 63,Chapinero,Calle 63,Chapinero,5.6,1.26,Eléctrica,Ocasional,Despejado,15.3,0.0,No
V001802,2026-03-08 17:16:18,Parque Nacional,Santa Fe,Parque de los Novios,Barrios Unidos,10.7,1.28,Mecánica,Suscriptor,Despejado,13.7,0.0,Sí
V000362,2026-04-21 18:30:25,Hacienda Santa Bárbara,Usaquén,Parque El Virrey Norte,Usaquén,14.3,2.16,Mecánica,Suscriptor,Despejado,18.2,0.0,No
V002663,2026-05-06 07:30:48,Parque de la 93,Chapinero,Calle 72,Chapinero,8.7,1.91,Mecánica,Suscriptor,Nublado,18.8,0.0,No
V003021,2026-03-30 18:55:45,Corferias,Teusaquillo,Universidad Nacional,Teusaquillo,11.6,2.83,Mecánica,,Despejado,18.0,0.0,No
V001644,2026-03-31 18:20:23,Museo Nacional,Santa Fe,Museo Nacional,Santa Fe,9.0,1.89,Mecánica,Suscriptor,Despejado,15.4,0.0,No
V000708,2026-05-14 18:16:52,Zona G,Chapinero,Zona G,Chapinero,9.2,1.93,Mecánica,Suscriptor,Lluvia ligera,15.8,1.8,No
V000944,2026-03-05 14:53:11,Universidad Javeriana,Chapinero,Parque El Virrey Norte,Usaquén,22.5,2.85,Mecánica,Suscriptor,Lluvia ligera,21.9,1.5,No
V002996,2026-02-28 06:31:53,Galerías,Teusaquillo,Corferias,Teusaquillo,17.3,3.46,Mecánica,Suscriptor,Despejado,14.7,0.0,Sí
V001864,2026-04-12 07:55:48,Museo Nacional,Santa Fe,Museo Nacional,Santa Fe,6.2,1.62,Eléctrica,Suscriptor,Nublado,16.7,0.0,Sí
V001397,2026-03-04 17:13:42,Museo Nacional,Santa Fe,Calle 63,Chapinero,8.6,1.6,electrica,Suscriptor,Despejado,16.5,0.0,No
V002153,2026-05-07 19:24:08,Calle 80,Barrios Unidos,Calle 80,Barrios Unidos,6.2,1.71,Eléctrica,Suscriptor,Despejado,19.2,0.0,No
V001823,2026-03-31 19:16:52,Calle 80,Barrios Unidos,Calle 80,Barrios Unidos,16.9,4.12,Mecánica,Ocasional,Nublado,18.0,0.0,No
V000378,2026-03-25 20:05:28,Parque de los Novios,Barrios Unidos,Plaza de Bolívar,La Candelaria,10.9,2.88,Eléctrica,Suscriptor,Lluvia,19.5,5.1,No
V001470,2026-02-18 09:15:10,Parque Nacional,Santa Fe,Las Nieves,Santa Fe,18.6,3.49,Eléctrica,Ocasional,Despejado,12.9,0.0,No
V003095,2026-02-06 17:20:08,Parque de los Novios,Barrios Unidos,Calle 116,Usaquén,7.9,1.5,Mecánica,Suscriptor,Nublado,17.2,0.0,No
V002393,2026-05-07 19:57:45,Parque de los Hippies,Chapinero,Calle 72,Chapinero,30.5,6.21,Eléctrica,Ocasional,Despejado,16.0,0.0,No
V002343,2026-03-20 15:07:07,Galerías,Teusaquillo,Las Aguas,La Candelaria,11.2,2.27,Eléctrica,Suscriptor,Nublado,16.5,0.0,No
V000717,2026-03-25 15:23:40,Calle 100,Usaquén,Unicentro,Usaquén,21.2,4.32,Mecánica,Suscriptor,Nublado,19.1,0.0,No
V001226,2026-05-12 08:46:43,Calle 80,Barrios Unidos,Parque de los Novios,Barrios Unidos,9.5,1.86,Mecánica,Ocasional,Nublado,18.1,0.0,No
V002946,2026-04-12 22:09:41,Plaza de Bolívar,La Candelaria,Las Aguas,La Candelaria,14.0,2.93,Mecánica,Suscriptor,Lluvia ligera,14.3,1.8,Sí
V001167,2026-04-08 06:50:22,Simón Bolívar Norte,Barrios Unidos,Parque de los Novios,Barrios Unidos,10.7,2.99,Eléctrica,Ocasional,Nublado,,0.0,No
V000758,2026-04-15 07:17:52,Parque Nacional,Santa Fe,Las Nieves,Santa Fe,16.2,3.82,Eléctrica,Suscriptor,Lluvia ligera,17.4,2.0,No
V000297,2026-03-15 12:38:06,Las Aguas,La Candelaria,Chorro de Quevedo,La Candelaria,5.5,0.78,Eléctrica,Suscriptor,Nublado,14.7,0.0,Sí
